Time,Volt
1.4759709e-01,2.00000e-01,
1.4759709e-01,1.32000e-01,
1.4759709e-01,-1.60000e-02,
1.4759709e-01,-1.48000e-01,
1.4759709e-01,-1.72000e-01,
1.4759709e-01,-5.20000e-02,
1.4759709e-01,1.08000e-01,
1.4759709e-01,1.96000e-01,
1.4759709e-01,1.36000e-01,
1.4759709e-01,-1.60000e-02,
1.4759709e-01,-1.48000e-01,
1.4759709e-01,-1.72000e-01,
1.4759709e-01,-6.80001e-02,
1.4759709e-01,1.00000e-01,
1.4759709e-01,2.04000e-01,
1.4759709e-01,1.28000e-01,
1.4759709e-01,-1.60000e-02,
1.4759709e-01,-1.56000e-01,
1.4759709e-01,-1.84000e-01,
1.4759709e-01,-6.80001e-02,
1.4759709e-01,9.60000e-02,
1.4759709e-01,1.96000e-01,
1.4759709e-01,1.40000e-01,
1.4759709e-01,-1.60000e-02,
1.4759709e-01,-1.60000e-01,
1.4759709e-01,-1.72000e-01,
1.4759709e-01,-6.80001e-02,
1.4759709e-01,1.00000e-01,
1.4759709e-01,2.00000e-01,
